Round,Bloon Type,Is Regrow,Is Fortified,Is Camo,Is Phayze,Count,Start Time,Duration
63,MOAB,False,True,False,False,36,0,10
63,DDT,False,True,False,False,6,2.5,27.5
63,MOAB,False,False,False,True,24,5,10
63,BFB,False,False,False,False,12,10,10
63,BFB,False,True,False,False,8,15,10
63,ZOMG,False,False,False,False,5,20,5
63,ZOMG,False,True,False,False,3,25,5
64,DDT,False,False,False,False,9,0,30
64,ZOMG,False,True,False,False,3,0,5
64,DDT,False,True,False,False,6,2.5,27.5
64,BFB,False,False,False,False,8,5,10
64,ZOMG,False,False,False,False,5,5,5
64,BFB,False,False,False,False,12,10,10
64,MOAB,False,False,False,False,24,15,10
64,MOAB,False,True,False,False,36,20,10
65,ZOMG,False,False,False,False,8,0,3
65,BFB,False,True,False,False,18,5,10
65,Purple,False,False,False,False,100,5,10
65,Purple,False,False,False,False,100,8,7
65,Purple,False,False,False,False,200,11,4
66,Lead,False,False,False,False,250,0,14
66,DDT,False,False,False,False,27,3,11
66,DDT,False,True,False,False,18,3.3,11
67,ZOMG,False,False,False,False,12,0,16
67,DDT,False,True,False,False,30,7.5,7
68,BAD,False,False,False,False,2,0,10
68,BAD,False,False,False,False,1,25,1
69,ZOMG,False,False,False,False,12,0,45
69,BFB,False,False,False,True,12,1.5,45
69,MOAB,False,True,False,False,24,6,45
70,BFB,False,True,False,False,14,0,5
70,MOAB,False,True,False,False,28,5,5
70,ZOMG,False,True,False,False,6,10,5
71,BFB,False,False,False,False,40,0,0.2
71,BFB,False,True,False,False,20,0.1,0.2
71,Lead,False,True,False,False,75,5,15
71,Lead,False,True,False,False,75,5.06,15
71,Lead,False,True,False,False,75,5.12,15
72,ZOMG,False,True,False,False,8,0,40
72,MOAB,False,False,False,False,200,0,40
73,BFB,False,True,False,False,75,0,30
74,ZOMG,False,False,False,False,6,0,25
74,ZOMG,False,False,False,False,5,5,20
74,ZOMG,False,False,False,False,4,10,15
74,ZOMG,False,False,False,False,3,15,10
74,ZOMG,False,False,False,False,2,20,5
74,ZOMG,False,False,False,True,1,25,1
74,BFB,False,False,False,False,12,5,25
74,BFB,False,False,False,False,10,9.55,20.45
74,BFB,False,False,False,False,8,14.1,15.9
74,BFB,False,False,False,False,6,18.65,11.35
74,BFB,False,False,False,False,4,23.2,6.8
74,BFB,False,False,False,True,2,27.75,2.25
74,MOAB,False,False,False,False,18,15,25
74,MOAB,False,False,False,False,15,19.42,20.58
74,MOAB,False,False,False,False,12,23.83,16.17
74,MOAB,False,False,False,False,9,28.25,11.75
74,MOAB,False,False,False,False,6,32.66,7.33
74,MOAB,False,False,False,False,3,37.08,2.92
75,Lead,True,True,True,False,1,0,1
75,DDT,False,False,False,False,99,6,21
76,MOAB,False,False,False,False,48,0,7
76,BFB,False,False,False,False,24,5,9
77,DDT,False,True,False,False,39,0,18
77,Ceramic,False,True,True,False,200,9,4.5
77,BFB,False,False,False,False,30,10,18
78,ZOMG,False,True,False,False,7,0,17
78,Lead,False,True,True,False,77,4,1
78,Purple,False,False,True,False,77,6,1
78,Ceramic,False,False,True,False,77,8,1
78,ZOMG,False,False,False,False,7,10,0.1
78,DDT,False,False,False,False,9,17,0.1
78,DDT,False,False,False,False,3,21,1
78,DDT,False,False,False,False,3,24,1
78,DDT,False,False,False,False,3,27,1
79,MOAB,False,False,False,False,12,0,0.1
79,DDT,False,False,False,False,27,4,16
79,MOAB,False,True,False,False,9,4,0.1
79,MOAB,False,False,False,False,12,8,0.1
79,MOAB,False,True,False,False,9,12,0.1
79,MOAB,False,False,False,False,12,16,0.1
79,DDT,False,False,False,True,9,20,0.1
79,DDT,False,True,False,False,3,24,0.1
79,MOAB,False,False,False,False,48,24,16
79,DDT,False,False,False,False,6,28,0.1
79,DDT,False,True,False,False,3,32,0.1
79,DDT,False,False,False,False,6,36,0.1
79,MOAB,False,True,False,False,48,40,0.1
80,ZOMG,False,True,False,False,18,0,39
81,ZOMG,False,False,False,False,5,0,1
81,ZOMG,False,False,False,False,4,5,0.1
81,ZOMG,False,True,False,False,3,10,1
81,Purple,False,False,True,False,100,15,1
81,ZOMG,False,False,False,False,5,25,1
81,ZOMG,False,False,False,False,4,30,0.1
81,ZOMG,False,True,False,False,3,35,1
81,Purple,False,False,False,False,100,40,1
82,MOAB,False,True,False,False,6,0,1
82,BFB,False,True,False,False,6,0,1
82,ZOMG,False,True,False,False,2,0,1
82,MOAB,False,True,False,False,6,12,1
82,BFB,False,True,False,False,6,12,1
82,ZOMG,False,True,False,False,2,12,1
82,MOAB,False,False,False,False,9,24,1
82,BFB,False,False,False,False,9,24,1
82,ZOMG,False,False,False,False,3,24,1
82,MOAB,False,False,False,False,9,36,1
82,BFB,False,False,False,False,9,36,1
82,ZOMG,False,False,False,False,3,36,1
82,MOAB,False,False,False,False,9,42,1
82,BFB,False,False,False,False,9,42,1
82,ZOMG,False,False,False,False,3,42,1
83,BFB,False,True,False,False,12,0,24
83,BFB,False,False,False,False,10,4.36,19.64
83,BFB,False,False,False,False,8,8.74,15.26
83,BFB,False,False,False,True,6,13.1,10.9
83,BFB,False,False,False,False,4,17.46,6.55
84,ZOMG,False,True,False,False,7,0,24
84,ZOMG,False,True,False,False,7,1.7,24
84,DDT,False,True,False,False,7,0,24
84,DDT,False,True,False,False,7,1.14,24
84,DDT,False,True,False,False,7,2.27,24
85,MOAB,False,True,False,False,96,0,45
85,BFB,False,False,False,False,24,0,45
86,ZOMG,False,False,False,False,18,0,0.1
86,BFB,False,False,False,False,24,2,0.1
86,MOAB,False,False,False,False,48,8,0.1
87,DDT,False,True,False,False,33,0,40
87,DDT,False,True,False,False,27,7,33
87,DDT,False,True,False,False,21,14,26
87,DDT,False,False,False,False,18,21,19
87,DDT,False,False,False,False,15,28,12
87,DDT,False,False,False,False,12,35,5
88,MOAB,False,False,False,False,109,0,45
88,MOAB,False,False,False,False,18,5,4
88,MOAB,False,True,False,False,18,9,4
88,MOAB,False,False,False,False,18,13,8
88,MOAB,False,True,False,False,18,21,4
88,MOAB,False,False,False,False,18,25,4
88,MOAB,False,True,False,False,18,29,4
88,MOAB,False,False,False,False,18,33,8
88,MOAB,False,True,False,False,18,41,4
89,BAD,False,True,False,False,1,0,1
89,BAD,False,False,False,False,1,45,1
90,ZOMG,False,True,False,False,10,0,7
90,MOAB,False,True,False,False,100,5,10
90,BFB,False,False,False,False,50,6.5,8.5
90,Ceramic,False,False,False,False,64,6,1
90,Ceramic,False,False,False,False,66,12,1
90,Ceramic,False,False,False,True,68,18,1
91,ZOMG,False,False,False,False,17,0,13
91,DDT,False,False,False,False,9,7,6
91,BFB,False,True,False,False,5,16.5,2
92,ZOMG,False,True,False,False,12,0,45
92,ZOMG,False,False,False,False,12,1.5,45
92,BFB,False,True,False,False,24,6,45
93,DDT,False,False,False,False,60,0,18
93,Ceramic,True,True,False,False,200,9,4.5
93,BFB,False,True,False,False,30,10,18
94,ZOMG,False,False,False,False,9,0,1
94,ZOMG,False,True,False,False,3,10,1
94,Rainbow,True,False,True,False,100,15,1
94,BFB,False,True,False,False,5,25,1
94,BFB,False,True,False,False,4,30,0.1
94,ZOMG,False,True,False,False,4,35,1
94,Purple,False,False,False,False,100,40,1
95,BFB,False,True,False,False,12,0,24
95,BFB,False,False,False,False,10,4.36,19.64
95,MOAB,False,False,False,False,16,8.74,15.26
95,BFB,False,False,False,False,6,13.1,10.9
95,MOAB,False,False,False,False,8,17.46,6.55
96,MOAB,False,True,False,False,50,0,35
96,DDT,False,True,False,False,4,12.96,6
97,ZOMG,False,False,False,False,12,5,25
97,ZOMG,False,False,False,False,10,9.55,20.45
97,ZOMG,False,False,False,False,8,14.1,15.9
97,ZOMG,False,False,False,False,6,18.65,11.35
97,ZOMG,False,False,False,True,4,23.2,6.8
97,ZOMG,False,False,False,True,2,27.75,2.25
97,BFB,False,False,False,False,18,15,25
97,BFB,False,False,False,False,15,19.42,20.58
97,BFB,False,False,False,False,12,23.83,16.17
97,BFB,False,False,False,False,9,28.25,11.75
97,BFB,False,False,False,True,6,32.66,7.33
97,BFB,False,False,False,True,3,37.08,2.92
98,ZOMG,False,True,False,False,4,0,20
98,MOAB,False,True,False,False,100,0,20
99,BAD,False,True,False,True,1,0,1
99,BAD,False,True,False,True,1,25,1
100,BAD,False,True,False,False,10,0,20
